date,weekday,dish_name,category,price_level,temperature_c,is_holiday,cooked_qty,sold_qty,wasted_qty
2025-01-09,Thursday,Veg Pasta,Veg,Low,3.6,0,100,93,7
2025-01-09,Thursday,Rice,Side,Low,3.6,0,177,156,21
2025-01-09,Thursday,Chocolate Pudding,Dessert,Medium,3.6,0,88,81,7
2025-01-10,Friday,Chicken Curry,Main,Medium,15.6,0,143,130,13
2025-01-10,Friday,Beef Stew,Main,High,15.6,0,125,114,11
2025-01-10,Friday,Veg Pasta,Veg,Low,15.6,0,126,116,10
2025-01-10,Friday,Rice,Side,Low,15.6,0,175,162,13
2025-01-10,Friday,Chocolate Pudding,Dessert,Medium,15.6,0,85,78,7
2025-01-13,Monday,Chicken Curry,Main,Medium,9.8,0,151,135,16
2025-01-13,Monday,Beef Stew,Main,High,9.8,0,116,102,14
2025-01-13,Monday,Veg Pasta,Veg,Low,9.8,0,107,95,12
2025-01-13,Monday,Rice,Side,Low,9.8,0,186,165,21
2025-01-13,Monday,Chocolate Pudding,Dessert,Medium,9.8,0,84,79,5
2025-01-14,Tuesday,Chicken Curry,Main,Medium,13.0,0,147,129,18
2025-01-14,Tuesday,Beef Stew,Main,High,13.0,0,100,94,6
2025-01-14,Tuesday,Veg Pasta,Veg,Low,13.0,0,95,87,8
2025-01-14,Tuesday,Rice,Side,Low,13.0,0,150,143,7
2025-01-14,Tuesday,Chocolate Pudding,Dessert,Medium,13.0,0,78,71,7
2025-01-15,Wednesday,Chicken Curry,Main,Medium,-2.2,0,124,115,9
2025-01-15,Wednesday,Beef Stew,Main,High,-2.2,0,107,98,9
2025-01-15,Wednesday,Veg Pasta,Veg,Low,-2.2,0,103,92,11
2025-01-15,Wednesday,Rice,Side,Low,-2.2,0,162,142,20
2025-01-15,Wednesday,Chocolate Pudding,Dessert,Medium,-2.2,0,74,69,5
2025-01-16,Thursday,Chicken Curry,Main,Medium,-5.0,0,131,125,6
2025-01-16,Thursday,Beef Stew,Main,High,-5.0,0,110,105,5
2025-01-16,Thursday,Veg Pasta,Veg,Low,-5.0,0,121,113,8
2025-01-16,Thursday,Rice,Side,Low,-5.0,0,153,144,9
2025-01-16,Thursday,Chocolate Pudding,Dessert,Medium,-5.0,0,82,75,7
2025-01-17,Friday,Chicken Curry,Main,Medium,23.4,0,163,146,17
2025-01-17,Friday,Beef Stew,Main,High,23.4,0,141,127,14
2025-01-17,Friday,Veg Pasta,Veg,Low,23.4,0,100,91,9
2025-01-17,Friday,Rice,Side,Low,23.4,0,156,148,8
2025-01-17,Friday,Chocolate Pudding,Dessert,Medium,23.4,0,84,76,8
2025-01-20,Monday,Chicken Curry,Main,Medium,-3.5,0,148,139,9
2025-01-20,Monday,Beef Stew,Main,High,-3.5,0,122,107,15
2025-01-20,Monday,Veg Pasta,Veg,Low,-3.5,0,123,116,7
2025-01-20,Monday,Rice,Side,Low,-3.5,0,172,151,21
2025-01-20,Monday,Chocolate Pudding,Dessert,Medium,-3.5,0,88,78,10
2025-01-21,Tuesday,Chicken Curry,Main,Medium,20.1,0,119,108,11
2025-01-21,Tuesday,Beef Stew,Main,High,20.1,0,92,87,5
2025-01-21,Tuesday,Veg Pasta,Veg,Low,20.1,0,103,91,12
2025-01-21,Tuesday,Rice,Side,Low,20.1,0,153,142,11
2025-01-21,Tuesday,Chocolate Pudding,Dessert,Medium,20.1,0,80,74,6
2025-01-22,Wednesday,Chicken Curry,Main,Medium,17.2,0,130,116,14
2025-01-22,Wednesday,Beef Stew,Main,High,17.2,0,94,89,5
2025-01-22,Wednesday,Veg Pasta,Veg,Low,17.2,0,99,87,12
2025-01-22,Wednesday,Rice,Side,Low,17.2,0,142,136,6
2025-01-22,Wednesday,Chocolate Pudding,Dessert,Medium,17.2,0,66,62,4
2025-01-23,Thursday,Chicken Curry,Main,Medium,30.0,0,126,118,8
2025-01-23,Thursday,Beef Stew,Main,High,30.0,0,94,87,7
2025-01-23,Thursday,Veg Pasta,Veg,Low,30.0,0,101,90,11
2025-01-23,Thursday,Rice,Side,Low,30.0,0,159,143,16
2025-01-23,Thursday,Chocolate Pudding,Dessert,Medium,30.0,0,75,68,7
2025-01-24,Friday,Chicken Curry,Main,Medium,9.5,0,138,129,9
2025-01-24,Friday,Beef Stew,Main,High,9.5,0,129,114,15
2025-01-24,Friday,Veg Pasta,Veg,Low,9.5,0,117,106,11
2025-01-24,Friday,Rice,Side,Low,9.5,0,178,161,17
2025-01-24,Friday,Chocolate Pudding,Dessert,Medium,9.5,0,97,89,8
2025-01-27,Monday,Chicken Curry,Main,Medium,18.3,0,128,122,6
2025-01-27,Monday,Beef Stew,Main,High,18.3,0,114,100,14
2025-01-27,Monday,Veg Pasta,Veg,Low,18.3,0,116,102,14
2025-01-27,Monday,Rice,Side,Low,18.3,0,158,151,7
2025-01-27,Monday,Chocolate Pudding,Dessert,Medium,18.3,0,92,81,11
2025-01-28,Tuesday,Chicken Curry,Main,Medium,16.7,1,94,83,11
2025-01-28,Tuesday,Beef Stew,Main,High,16.7,1,73,65,8
2025-01-28,Tuesday,Veg Pasta,Veg,Low,16.7,1,59,55,4
2025-01-28,Tuesday,Rice,Side,Low,16.7,1,113,99,14
2025-01-28,Tuesday,Chocolate Pudding,Dessert,Medium,16.7,1,49,44,5
2025-01-29,Wednesday,Chicken Curry,Main,Medium,3.2,0,139,121,18
2025-01-29,Wednesday,Beef Stew,Main,High,3.2,0,113,100,13
2025-01-29,Wednesday,Veg Pasta,Veg,Low,3.2,0,91,81,10
2025-01-29,Wednesday,Rice,Side,Low,3.2,0,163,151,12
2025-01-29,Wednesday,Chocolate Pudding,Dessert,Medium,3.2,0,80,75,5
2025-01-30,Thursday,Chicken Curry,Main,Medium,17.2,0,141,124,17
2025-01-30,Thursday,Beef Stew,Main,High,17.2,0,117,104,13
2025-01-30,Thursday,Veg Pasta,Veg,Low,17.2,0,130,117,13
2025-01-30,Thursday,Rice,Side,Low,17.2,0,170,150,20
2025-01-30,Thursday,Chocolate Pudding,Dessert,Medium,17.2,0,79,73,6
2025-01-31,Friday,Chicken Curry,Main,Medium,4.3,0,149,142,7
2025-01-31,Friday,Beef Stew,Main,High,4.3,0,154,143,11
2025-01-31,Friday,Veg Pasta,Veg,Low,4.3,0,102,92,10
2025-01-31,Friday,Rice,Side,Low,4.3,0,172,162,10
2025-01-31,Friday,Chocolate Pudding,Dessert,Medium,4.3,0,100,91,9
2025-02-03,Monday,Chicken Curry,Main,Medium,4.8,0,154,146,8
2025-02-03,Monday,Beef Stew,Main,High,4.8,0,126,115,11
2025-02-03,Monday,Veg Pasta,Veg,Low,4.8,0,109,98,11
2025-02-03,Monday,Rice,Side,Low,4.8,0,152,135,17
2025-02-03,Monday,Chocolate Pudding,Dessert,Medium,4.8,0,88,82,6
2025-02-04,Tuesday,Chicken Curry,Main,Medium,4.1,0,142,124,18
2025-02-04,Tuesday,Beef Stew,Main,High,4.1,0,118,109,9
2025-02-04,Tuesday,Veg Pasta,Veg,Low,4.1,0,107,101,6
2025-02-04,Tuesday,Rice,Side,Low,4.1,0,155,141,14
2025-02-04,Tuesday,Chocolate Pudding,Dessert,Medium,4.1,0,77,69,8
2025-02-05,Wednesday,Chicken Curry,Main,Medium,-0.6,1,100,89,11
2025-02-05,Wednesday,Beef Stew,Main,High,-0.6,1,88,81,7
2025-02-05,Wednesday,Veg Pasta,Veg,Low,-0.6,1,73,68,5
2025-02-05,Wednesday,Rice,Side,Low,-0.6,1,112,107,5
2025-02-05,Wednesday,Chocolate Pudding,Dessert,Medium,-0.6,1,48,46,2
2025-02-06,Thursday,Chicken Curry,Main,Medium,16.4,0,134,127,7
2025-02-06,Thursday,Beef Stew,Main,High,16.4,0,78,74,4
2025-02-06,Thursday,Veg Pasta,Veg,Low,16.4,0,89,82,7
2025-02-06,Thursday,Rice,Side,Low,16.4,0,175,158,17
2025-02-06,Thursday,Chocolate Pudding,Dessert,Medium,16.4,0,64,61,3
2025-02-07,Friday,Chicken Curry,Main,Medium,26.4,0,131,116,15
2025-02-07,Friday,Beef Stew,Main,High,26.4,0,105,100,5
2025-02-07,Friday,Veg Pasta,Veg,Low,26.4,0,112,101,11
2025-02-07,Friday,Rice,Side,Low,26.4,0,175,153,22
2025-02-07,Friday,Chocolate Pudding,Dessert,Medium,26.4,0,81,74,7
2025-02-10,Monday,Chicken Curry,Main,Medium,27.9,0,123,112,11
2025-02-10,Monday,Beef Stew,Main,High,27.9,0,118,103,15
2025-02-10,Monday,Veg Pasta,Veg,Low,27.9,0,111,98,13
2025-02-10,Monday,Rice,Side,Low,27.9,0,157,149,8
2025-02-10,Monday,Chocolate Pudding,Dessert,Medium,27.9,0,74,69,5
2025-02-11,Tuesday,Chicken Curry,Main,Medium,6.1,0,143,128,15
2025-02-11,Tuesday,Beef Stew,Main,High,6.1,0,120,107,13
2025-02-11,Tuesday,Veg Pasta,Veg,Low,6.1,0,103,92,11
2025-02-11,Tuesday,Rice,Side,Low,6.1,0,146,130,16
2025-02-11,Tuesday,Chocolate Pudding,Dessert,Medium,6.1,0,74,66,8
2025-02-12,Wednesday,Chicken Curry,Main,Medium,11.8,0,129,115,14
2025-02-12,Wednesday,Beef Stew,Main,High,11.8,0,112,99,13
2025-02-12,Wednesday,Veg Pasta,Veg,Low,11.8,0,91,84,7
2025-02-12,Wednesday,Rice,Side,Low,11.8,0,149,141,8
2025-02-12,Wednesday,Chocolate Pudding,Dessert,Medium,11.8,0,79,70,9
2025-02-13,Thursday,Chicken Curry,Main,Medium,25.1,0,129,114,15
2025-02-13,Thursday,Beef Stew,Main,High,25.1,0,111,97,14
2025-02-13,Thursday,Veg Pasta,Veg,Low,25.1,0,93,84,9
2025-02-13,Thursday,Rice,Side,Low,25.1,0,133,124,9
2025-02-13,Thursday,Chocolate Pudding,Dessert,Medium,25.1,0,83,77,6
2025-02-14,Friday,Chicken Curry,Main,Medium,23.6,0,164,146,18
2025-02-14,Friday,Beef Stew,Main,High,23.6,0,120,114,6
2025-02-14,Friday,Veg Pasta,Veg,Low,23.6,0,106,96,10
2025-02-14,Friday,Rice,Side,Low,23.6,0,187,173,14
2025-02-14,Friday,Chocolate Pudding,Dessert,Medium,23.6,0,83,79,4
2025-02-17,Monday,Chicken Curry,Main,Medium,16.1,0,133,126,7
2025-02-17,Monday,Beef Stew,Main,High,16.1,0,118,112,6
2025-02-17,Monday,Veg Pasta,Veg,Low,16.1,0,106,94,12
2025-02-17,Monday,Rice,Side,Low,16.1,0,156,148,8
2025-02-17,Monday,Chocolate Pudding,Dessert,Medium,16.1,0,89,78,11
2025-02-18,Tuesday,Chicken Curry,Main,Medium,-2.5,0,127,111,16
2025-02-18,Tuesday,Beef Stew,Main,High,-2.5,0,110,98,12
2025-02-18,Tuesday,Veg Pasta,Veg,Low,-2.5,0,101,92,9
2025-02-18,Tuesday,Rice,Side,Low,-2.5,0,166,157,9
2025-02-18,Tuesday,Chocolate Pudding,Dessert,Medium,-2.5,0,79,72,7
2025-02-19,Wednesday,Chicken Curry,Main,Medium,11.8,0,117,111,6
2025-02-19,Wednesday,Beef Stew,Main,High,11.8,0,109,97,12
2025-02-19,Wednesday,Veg Pasta,Veg,Low,11.8,0,87,79,8
2025-02-19,Wednesday,Rice,Side,Low,11.8,0,141,131,10
2025-02-19,Wednesday,Chocolate Pudding,Dessert,Medium,11.8,0,77,68,9
2025-02-20,Thursday,Chicken Curry,Main,Medium,14.2,0,132,120,12
2025-02-20,Thursday,Beef Stew,Main,High,14.2,0,111,100,11
2025-02-20,Thursday,Veg Pasta,Veg,Low,14.2,0,104,93,11
2025-02-20,Thursday,Rice,Side,Low,14.2,0,181,164,17
2025-02-20,Thursday,Chocolate Pudding,Dessert,Medium,14.2,0,74,65,9
2025-02-21,Friday,Chicken Curry,Main,Medium,30.0,0,130,122,8
2025-02-21,Friday,Beef Stew,Main,High,30.0,0,99,90,9
2025-02-21,Friday,Veg Pasta,Veg,Low,30.0,0,99,94,5
2025-02-21,Friday,Rice,Side,Low,30.0,0,169,157,12
2025-02-21,Friday,Chocolate Pudding,Dessert,Medium,30.0,0,98,87,11
2025-02-24,Monday,Chicken Curry,Main,Medium,3.0,0,163,144,19
2025-02-24,Monday,Beef Stew,Main,High,3.0,0,117,103,14
2025-02-24,Monday,Veg Pasta,Veg,Low,3.0,0,135,119,16
2025-02-24,Monday,Rice,Side,Low,3.0,0,202,176,26
2025-02-24,Monday,Chocolate Pudding,Dessert,Medium,3.0,0,82,77,5
2025-02-25,Tuesday,Chicken Curry,Main,Medium,-5.0,1,110,97,13
2025-02-25,Tuesday,Beef Stew,Main,High,-5.0,1,78,72,6
2025-02-25,Tuesday,Veg Pasta,Veg,Low,-5.0,1,77,72,5
2025-02-25,Tuesday,Rice,Side,Low,-5.0,1,114,102,12
2025-02-25,Tuesday,Chocolate Pudding,Dessert,Medium,-5.0,1,58,51,7
2025-02-26,Wednesday,Chicken Curry,Main,Medium,7.5,0,126,119,7
2025-02-26,Wednesday,Beef Stew,Main,High,7.5,0,101,95,6
2025-02-26,Wednesday,Veg Pasta,Veg,Low,7.5,0,99,89,10
2025-02-26,Wednesday,Rice,Side,Low,7.5,0,123,116,7
2025-02-26,Wednesday,Chocolate Pudding,Dessert,Medium,7.5,0,81,73,8
2025-02-27,Thursday,Chicken Curry,Main,Medium,27.5,0,130,115,15
2025-02-27,Thursday,Beef Stew,Main,High,27.5,0,125,110,15
2025-02-27,Thursday,Veg Pasta,Veg,Low,27.5,0,105,97,8
2025-02-27,Thursday,Rice,Side,Low,27.5,0,155,139,16
2025-02-27,Thursday,Chocolate Pudding,Dessert,Medium,27.5,0,78,73,5
2025-02-28,Friday,Chicken Curry,Main,Medium,22.6,0,129,118,11
2025-02-28,Friday,Beef Stew,Main,High,22.6,0,123,112,11
2025-02-28,Friday,Veg Pasta,Veg,Low,22.6,0,122,109,13
2025-02-28,Friday,Rice,Side,Low,22.6,0,205,181,24
2025-02-28,Friday,Chocolate Pudding,Dessert,Medium,22.6,0,81,71,10
2025-03-03,Monday,Chicken Curry,Main,Medium,-5.0,0,157,137,20
2025-03-03,Monday,Beef Stew,Main,High,-5.0,0,106,96,10
2025-03-03,Monday,Veg Pasta,Veg,Low,-5.0,0,110,103,7
2025-03-03,Monday,Rice,Side,Low,-5.0,0,177,166,11
2025-03-03,Monday,Chocolate Pudding,Dessert,Medium,-5.0,0,80,74,6
2025-03-04,Tuesday,Chicken Curry,Main,Medium,11.4,0,137,129,8
2025-03-04,Tuesday,Beef Stew,Main,High,11.4,0,101,95,6
2025-03-04,Tuesday,Veg Pasta,Veg,Low,11.4,0,88,84,4
2025-03-04,Tuesday,Rice,Side,Low,11.4,0,147,138,9
2025-03-04,Tuesday,Chocolate Pudding,Dessert,Medium,11.4,0,69,64,5
2025-03-05,Wednesday,Chicken Curry,Main,Medium,30.0,0,122,108,14
2025-03-05,Wednesday,Beef Stew,Main,High,30.0,0,96,85,11
2025-03-05,Wednesday,Veg Pasta,Veg,Low,30.0,0,93,82,11
2025-03-05,Wednesday,Rice,Side,Low,30.0,0,141,125,16
2025-03-05,Wednesday,Chocolate Pudding,Dessert,Medium,30.0,0,69,62,7
2025-03-06,Thursday,Chicken Curry,Main,Medium,6.7,0,125,114,11
2025-03-06,Thursday,Beef Stew,Main,High,6.7,0,95,87,8
2025-03-06,Thursday,Veg Pasta,Veg,Low,6.7,0,111,99,12
2025-03-06,Thursday,Rice,Side,Low,6.7,0,160,146,14
2025-03-06,Thursday,Chocolate Pudding,Dessert,Medium,6.7,0,78,71,7
2025-03-07,Friday,Chicken Curry,Main,Medium,10.7,0,136,127,9
2025-03-07,Friday,Beef Stew,Main,High,10.7,0,113,108,5
2025-03-07,Friday,Veg Pasta,Veg,Low,10.7,0,98,91,7
2025-03-07,Friday,Rice,Side,Low,10.7,0,161,152,9
2025-03-07,Friday,Chocolate Pudding,Dessert,Medium,10.7,0,83,73,10
2025-03-10,Monday,Chicken Curry,Main,Medium,28.9,0,147,134,13
2025-03-10,Monday,Beef Stew,Main,High,28.9,0,116,105,11
2025-03-10,Monday,Veg Pasta,Veg,Low,28.9,0,97,87,10
2025-03-10,Monday,Rice,Side,Low,28.9,0,144,134,10
2025-03-10,Monday,Chocolate Pudding,Dessert,Medium,28.9,0,78,72,6
2025-03-11,Tuesday,Chicken Curry,Main,Medium,21.3,0,158,138,20
2025-03-11,Tuesday,Beef Stew,Main,High,21.3,0,93,88,5
2025-03-11,Tuesday,Veg Pasta,Veg,Low,21.3,0,100,94,6
2025-03-11,Tuesday,Rice,Side,Low,21.3,0,141,132,9
2025-03-11,Tuesday,Chocolate Pudding,Dessert,Medium,21.3,0,72,67,5
2025-03-12,Wednesday,Chicken Curry,Main,Medium,12.5,0,121,106,15
2025-03-12,Wednesday,Beef Stew,Main,High,12.5,0,106,93,13
2025-03-12,Wednesday,Veg Pasta,Veg,Low,12.5,0,89,79,10
2025-03-12,Wednesday,Rice,Side,Low,12.5,0,134,126,8
2025-03-12,Wednesday,Chocolate Pudding,Dessert,Medium,12.5,0,78,70,8
2025-03-13,Thursday,Chicken Curry,Main,Medium,13.0,0,136,127,9
2025-03-13,Thursday,Beef Stew,Main,High,13.0,0,101,94,7
2025-03-13,Thursday,Veg Pasta,Veg,Low,13.0,0,102,94,8
2025-03-13,Thursday,Rice,Side,Low,13.0,0,128,121,7
2025-03-13,Thursday,Chocolate Pudding,Dessert,Medium,13.0,0,77,70,7
2025-03-14,Friday,Chicken Curry,Main,Medium,18.4,0,130,119,11
2025-03-14,Friday,Beef Stew,Main,High,18.4,0,118,109,9
2025-03-14,Friday,Veg Pasta,Veg,Low,18.4,0,109,103,6
2025-03-14,Friday,Rice,Side,Low,18.4,0,186,173,13
2025-03-14,Friday,Chocolate Pudding,Dessert,Medium,18.4,0,84,76,8
2025-03-17,Monday,Chicken Curry,Main,Medium,17.3,0,160,147,13
2025-03-17,Monday,Beef Stew,Main,High,17.3,0,130,115,15
2025-03-17,Monday,Veg Pasta,Veg,Low,17.3,0,111,97,14
2025-03-17,Monday,Rice,Side,Low,17.3,0,180,158,22
2025-03-17,Monday,Chocolate Pudding,Dessert,Medium,17.3,0,77,73,4
2025-03-18,Tuesday,Chicken Curry,Main,Medium,12.9,0,133,118,15
2025-03-18,Tuesday,Beef Stew,Main,High,12.9,0,109,102,7
2025-03-18,Tuesday,Veg Pasta,Veg,Low,12.9,0,92,87,5
2025-03-18,Tuesday,Rice,Side,Low,12.9,0,160,144,16
2025-03-18,Tuesday,Chocolate Pudding,Dessert,Medium,12.9,0,73,67,6
2025-03-19,Wednesday,Chicken Curry,Main,Medium,20.7,0,125,111,14
2025-03-19,Wednesday,Beef Stew,Main,High,20.7,0,86,79,7
2025-03-19,Wednesday,Veg Pasta,Veg,Low,20.7,0,84,78,6
2025-03-19,Wednesday,Rice,Side,Low,20.7,0,142,133,9
2025-03-19,Wednesday,Chocolate Pudding,Dessert,Medium,20.7,0,85,75,10
2025-03-20,Thursday,Chicken Curry,Main,Medium,20.3,0,109,98,11
2025-03-20,Thursday,Beef Stew,Main,High,20.3,0,93,88,5
2025-03-20,Thursday,Veg Pasta,Veg,Low,20.3,0,110,98,12
2025-03-20,Thursday,Rice,Side,Low,20.3,0,167,147,20
2025-03-20,Thursday,Chocolate Pudding,Dessert,Medium,20.3,0,92,82,10
2025-03-21,Friday,Chicken Curry,Main,Medium,7.4,0,143,128,15
2025-03-21,Friday,Beef Stew,Main,High,7.4,0,129,115,14
2025-03-21,Friday,Veg Pasta,Veg,Low,7.4,0,112,99,13
2025-03-21,Friday,Rice,Side,Low,7.4,0,184,174,10
2025-03-21,Friday,Chocolate Pudding,Dessert,Medium,7.4,0,87,77,10
2025-03-24,Monday,Chicken Curry,Main,Medium,9.3,0,128,121,7
2025-03-24,Monday,Beef Stew,Main,High,9.3,0,130,116,14
2025-03-24,Monday,Veg Pasta,Veg,Low,9.3,0,101,91,10
2025-03-24,Monday,Rice,Side,Low,9.3,0,170,159,11
2025-03-24,Monday,Chocolate Pudding,Dessert,Medium,9.3,0,95,88,7
2025-03-25,Tuesday,Chicken Curry,Main,Medium,-5.0,0,161,141,20
2025-03-25,Tuesday,Beef Stew,Main,High,-5.0,0,117,107,10
2025-03-25,Tuesday,Veg Pasta,Veg,Low,-5.0,0,94,85,9
2025-03-25,Tuesday,Rice,Side,Low,-5.0,0,165,148,17
2025-03-25,Tuesday,Chocolate Pudding,Dessert,Medium,-5.0,0,87,77,10
2025-03-26,Wednesday,Chicken Curry,Main,Medium,4.1,0,137,124,13
2025-03-26,Wednesday,Beef Stew,Main,High,4.1,0,128,112,16
2025-03-26,Wednesday,Veg Pasta,Veg,Low,4.1,0,98,86,12
2025-03-26,Wednesday,Rice,Side,Low,4.1,0,147,128,19
2025-03-26,Wednesday,Chocolate Pudding,Dessert,Medium,4.1,0,78,69,9
2025-03-27,Thursday,Chicken Curry,Main,Medium,12.6,0,141,130,11
2025-03-27,Thursday,Beef Stew,Main,High,12.6,0,110,98,12
2025-03-27,Thursday,Veg Pasta,Veg,Low,12.6,0,90,86,4
2025-03-27,Thursday,Rice,Side,Low,12.6,0,141,128,13
2025-03-27,Thursday,Chocolate Pudding,Dessert,Medium,12.6,0,68,60,8
2025-03-28,Friday,Chicken Curry,Main,Medium,-0.9,0,141,129,12
2025-03-28,Friday,Beef Stew,Main,High,-0.9,0,125,118,7
2025-03-28,Friday,Veg Pasta,Veg,Low,-0.9,0,101,95,6
2025-03-28,Friday,Rice,Side,Low,-0.9,0,150,132,18
2025-03-28,Friday,Chocolate Pudding,Dessert,Medium,-0.9,0,91,84,7
2025-03-31,Monday,Chicken Curry,Main,Medium,30.0,0,151,136,15
2025-03-31,Monday,Beef Stew,Main,High,30.0,0,107,102,5
2025-03-31,Monday,Veg Pasta,Veg,Low,30.0,0,97,85,12
2025-03-31,Monday,Rice,Side,Low,30.0,0,185,176,9
2025-03-31,Monday,Chocolate Pudding,Dessert,Medium,30.0,0,82,73,9
2025-04-01,Tuesday,Chicken Curry,Main,Medium,14.0,0,126,118,8
2025-04-01,Tuesday,Beef Stew,Main,High,14.0,0,109,99,10
2025-04-01,Tuesday,Veg Pasta,Veg,Low,14.0,0,90,86,4
2025-04-01,Tuesday,Rice,Side,Low,14.0,0,151,137,14
2025-04-01,Tuesday,Chocolate Pudding,Dessert,Medium,14.0,0,85,78,7
2025-04-02,Wednesday,Chicken Curry,Main,Medium,24.5,0,101,95,6
2025-04-02,Wednesday,Beef Stew,Main,High,24.5,0,93,84,9
2025-04-02,Wednesday,Veg Pasta,Veg,Low,24.5,0,87,80,7
2025-04-02,Wednesday,Rice,Side,Low,24.5,0,149,142,7
2025-04-02,Wednesday,Chocolate Pudding,Dessert,Medium,24.5,0,78,73,5
2025-04-03,Thursday,Chicken Curry,Main,Medium,19.2,0,115,109,6
2025-04-03,Thursday,Beef Stew,Main,High,19.2,0,105,95,10
2025-04-03,Thursday,Veg Pasta,Veg,Low,19.2,0,99,93,6
2025-04-03,Thursday,Rice,Side,Low,19.2,0,153,137,16
2025-04-03,Thursday,Chocolate Pudding,Dessert,Medium,19.2,0,76,67,9
2025-04-04,Friday,Chicken Curry,Main,Medium,8.4,0,160,150,10
2025-04-04,Friday,Beef Stew,Main,High,8.4,0,126,120,6
2025-04-04,Friday,Veg Pasta,Veg,Low,8.4,0,105,100,5
2025-04-04,Friday,Rice,Side,Low,8.4,0,180,165,15
2025-04-04,Friday,Chocolate Pudding,Dessert,Medium,8.4,0,82,72,10
2025-04-07,Monday,Chicken Curry,Main,Medium,6.8,0,155,143,12
2025-04-07,Monday,Beef Stew,Main,High,6.8,0,106,96,10
2025-04-07,Monday,Veg Pasta,Veg,Low,6.8,0,112,103,9
2025-04-07,Monday,Rice,Side,Low,6.8,0,138,128,10
2025-04-07,Monday,Chocolate Pudding,Dessert,Medium,6.8,0,99,87,12
2025-04-08,Tuesday,Chicken Curry,Main,Medium,6.6,0,135,123,12
2025-04-08,Tuesday,Beef Stew,Main,High,6.6,0,109,100,9
2025-04-08,Tuesday,Veg Pasta,Veg,Low,6.6,0,95,91,4
2025-04-08,Tuesday,Rice,Side,Low,6.6,0,159,143,16
2025-04-08,Tuesday,Chocolate Pudding,Dessert,Medium,6.6,0,64,60,4
2025-04-09,Wednesday,Chicken Curry,Main,Medium,13.7,1,86,78,8
2025-04-09,Wednesday,Beef Stew,Main,High,13.7,1,66,63,3
2025-04-09,Wednesday,Veg Pasta,Veg,Low,13.7,1,63,56,7
2025-04-09,Wednesday,Rice,Side,Low,13.7,1,101,94,7
2025-04-09,Wednesday,Chocolate Pudding,Dessert,Medium,13.7,1,46,42,4
2025-04-10,Thursday,Chicken Curry,Main,Medium,22.3,0,130,124,6
2025-04-10,Thursday,Beef Stew,Main,High,22.3,0,113,102,11
2025-04-10,Thursday,Veg Pasta,Veg,Low,22.3,0,108,97,11
2025-04-10,Thursday,Rice,Side,Low,22.3,0,131,119,12
2025-04-10,Thursday,Chocolate Pudding,Dessert,Medium,22.3,0,65,62,3
2025-04-11,Friday,Chicken Curry,Main,Medium,17.2,0,143,129,14
2025-04-11,Friday,Beef Stew,Main,High,17.2,0,117,109,8
